国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
荷兰,18,M. 雅斯珀,OH,180,1996,热舒夫
荷兰,19,达尔德罗普,OH,189,1998,科内利亚诺
荷兰,20,科克,OH,187,2004,什未林
荷兰,21,斯图特,MB,198,2003,什未林
荷兰,22,科宁恩贝赫,S,184,2004,威斯巴登
荷兰,23,蒂默曼,MB,192,1998,加拉塔萨雷
荷兰,24,萨费尔库尔,OH,184,1995,马克昂巴勒勒
荷兰,25,赖辛克,L,174,1998,什未林
荷兰,26,达姆布林克,O,189,2003,基耶里
荷兰,27,耶尔斯马,O,188,2007,迪纳摩
荷兰,28,库伊珀斯,OH,186,2002,德累斯顿
荷兰,29,韦塞尔斯,MB,185,2006,Apollo 8
荷兰,30,范德派尔,OH,196,2003,威斯巴登
荷兰,31,达姆布林克,MB,193,2007,迪纳摩
荷兰,32,赞德,S,180,2005,亚琛黑娘子军
荷兰,33,斯特里克韦达,S,179,2006,迪纳摩
荷兰,34,梅耶,L,176,2008,迪纳摩
荷兰,35,P. 科克,OH,185,2006,迪纳摩
波兰,1,什楚罗夫斯卡,O,188,2001,贝西克塔斯
波兰,2,奥日沃夫斯卡,MB,191,1998,BKS BOSTIK ZGO Bielsko-Biała
波兰,3,斯蒂夏克,O,203,2000,伊萨奇巴希
波兰,4,休达,S,178,2007,罗兹建设
波兰,5,拉辛斯卡,O,190,1998,Vestel Manisa Büyükşehir Belediye Spor
波兰,6,奥比亚瓦,MB,187,1995,罗兹ŁKS
波兰,7,奥尔诺赫,OH,190,2007,马切拉塔
波兰,8,皮娅塞茨卡,OH,189,2002,热舒夫
波兰,9,穆雷克,OH,180,1999,波尔图
波兰,10,维杜赫,L,171,2004,奥波莱大学
波兰,11,卢卡西克,OH,190,1999,加拉塔萨雷
波兰,12,什奇格沃夫斯卡,L,172,1998,热舒夫
波兰,14,兰普科夫斯卡,OH,183,1999,帕纳辛奈科斯
波兰,15,奇尔尼亚斯卡,OH,192,2003,库泽博鲁
波兰,16,斯特凡尼克,MB,192,2002,罗兹ŁKS
波兰,18,利夏克,L,172,1999,罗兹建设
波兰,19,奥尔佐乌,OH,182,2002,波利采化工
波兰,20,莫申斯卡,MB,190,2005,梅莱茨钢铁
波兰,21,格拉布卡,S,180,1998,罗兹建设
波兰,22,什拉戈夫斯卡,OH,188,2001,万隆坦达马塔
波兰,23,马卡罗夫斯卡 - 库莱伊,S,178,2000,奥波莱大学
波兰,24,达马什凯,OH,180,2001,罗兹建设
波兰,26,韦内尔斯卡,S,177,1993,热舒夫
波兰,28,谢拉德茨卡,O,187,1997,热舒夫
波兰,31,凯赫尔,MB,192,2004,奥波莱大学
波兰,32,科普特,MB,190,2007,波利采化工
